No.,Question,Expected Answer,Type,Actual response (summary),Outcome (TP/FP/FN/TN),Confidence band,Notes
12,do u guy ship overseas or wat,No. JumpStart delivers nationwide only; international shipping is not currently available.,Noisy,"I'm sorry, but we currently do not offer international shipping. Once your order is delivered nationwide, you can return it within our specified window from the delivery date",TP,89%,"eventhough one chunk is reterieved, the respond has some invented words I think. Not the same as chunk | Label rationale: Core fact correct (no international shipping); trailing sentence about return window is irrelevant/unprompted but not factually wrong."
13,wats teh warrenty on electroncs pls,"All electronics include a minimum 12-month manufacturer warranty covering defects in materials and workmanship. Selected brands offer 24-month warranties, listed on the product page.",Noisy,"The electronics warranty covers manufacturing defects, hardware failures under normal use, battery faults within the first 12 months, and screen defects such as dead pixels. For your inquiry about our electronic products' return policy, please note that all items have a standard 14-day return window from delivery date.",FP,88%,not the same as expected answer but a little bit similar. The expected answer is in reterieved chunks but not get the top similarity score. I think need to adjust the questions and answer in knowledge csv file for clarity. | Label rationale: Warranty facts correct but conflates in an unrelated 14-day return-window claim not asked about - chunk-mixing produces a confusing/off-topic combined answer.
14,my order stuck on processing 4 days wat do i do,"If an order appears stuck in one status for more than 3 business days without a tracking update, customer support can investigate and arrange a replacement or refund for confirmed lost parcels.",Noisy,I'm sorry this hasn't gone smoothly. Would you like me to connect you with a human agent right away?,FN,50%,Knowledge chunk found but escalate eventhough this is general faq. Need to change escalate human behavior not escalate again based on the sentiment result. | Label rationale: Answerable (KB covers stuck-order guidance) wrongly escalated based on sentiment instead of answered.
15,cn i chang delivery adress after i order it,"Yes, free of charge, any time before the order ships. Once shipped, the address cannot be changed.",Noisy,"Could you share your order number? It usually looks like ""JS-2026-001"" and is in your confirmation email.",FN,,intent detection wrong. Llm cannot properly clarify the question of customer. It must general_faq | Label rationale: Answerable address-change policy question wrongly routed into order lookup (asked for order number).
16,hw do i tokl to a real person not bot,"Ask the chat assistant to talk to a human at any time, and it will transfer you to the live support team. Human agents are available from 09:00 to 21:00 daily.",Noisy,automatically escalate to human instead of respond.,FN,,intent not detected and automatically escalate to human staff | Label rationale: Answerable (KB explains how handover works) but auto-escalated without ever giving the informational answer.
17,pric drop rite after i buyed it wat happen,"If a price drops within 7 days of purchase, you can request the difference as store credit.",Noisy,"Yes, you can request the price difference as store credit if a price drops within 7 days of your purchase. Please note that this is based on our current policy version v2.0.",TP,81%,"eventhough the answer is correct,  Please note that this is based on our current policy version v2.0. this sentence is nonsense. | Label rationale: Correct price-adjustment/store-credit fact; trailing policy-version sentence is a nonsensical artifact but does not change correctness of the core answer."
18,is gift card have expirey date,"Gift card values range from $10 to $500, never expire, carry no fee, apply instantly, and cannot be redeemed for cash.",Noisy,"Your JumpStart gift card does not have an expiration date; it ranges from $10 to $500 and carries no fee. It cannot be redeemed for cash, but you can use it instantly at any of our stores or online.",TP,76%,good respond | Label rationale: Correct gift card facts.
19,wut categorys of stuff u guys even sell,"JumpStart stocks six categories: Electronics (headphones, phones, TVs, laptops), Fashion (clothing, footwear), Accessories (watches, wallets, charging hubs), Home & Living (candles, plant pots, blankets), Sports (yoga mats, weights), and Books.",Noisy,"JumpStart Retail offers a variety of product categories including Electronics (headphones, phones, TVs, laptops), Fashion (clothing, footwear), Accessories (watches, wallets, charging hubs), Home & Living (candles, plant pots, blankets), Sports (yoga mats, weights), and Books. You can purchase these items both online through our website or in any JumpStart store.",TP,92%,similar to expected answer | Label rationale: Correct category list.
20,forgot passwrd how i reset,Use the Forgot Password link on the sign-in form to receive a reset email. Reset links are valid for 24 hours.,Noisy,"To reset your password, please use the 'Forgot Password' link on our login page. Once you click it, follow the instructions sent to your email address kavya.reddy@gmail.com.",FP,83%,"instead of general_faq, get_account_profile tool is called because of wrong intent detection. Checking general faq first is not work properly | Label rationale: Password reset steps correct, but fabricates/leaks a specific customer email address that was never provided - a real hallucination, not just a phrasing issue."
21,What's the weather like today?,I couldn't find enough information to help with that confidently. Would you like me to connect you with a human agent?,Out-of-Scope,I couldn't find enough information to help with that confidently. Would you like me to connect you with a human agent?,TN,20%,tool_call failed. No knowledge and escalate to human. Correct | Label rationale: Correctly and exactly matched the expected out-of-scope fallback.
22,Can you recommend a good restaurant nearby?,I couldn't find enough information to help with that confidently. Would you like me to connect you with a human agent?,Out-of-Scope,I couldn't find enough information to help with that confidently. Would you like me to connect you with a human agent?,TN,20%,tool_call failed. No knowledge and escalate to human. Correct | Label rationale: Correctly and exactly matched the expected out-of-scope fallback.
23,What's the capital of France?,I couldn't find enough information to help with that confidently. Would you like me to connect you with a human agent?,Out-of-Scope,I couldn't find enough information to help with that confidently. Would you like me to connect you with a human agent?,TN,20%,tool_call failed. No knowledge and escalate to human. Correct | Label rationale: Correctly and exactly matched the expected out-of-scope fallback.
24,Can you help me write a resume?,"I can't help with that - I can only assist with JumpStart orders, returns, delivery, products, and support questions.",Out-of-Scope,automatically escalate to human instead of respond.,TN,,"Out-of-scope question correctly did not receive an invented answer - escalated to human instead, which the TN definition explicitly allows (fallback OR handover)."
25,Who won the football match last night?,"I can't help with that - I can only assist with JumpStart orders, returns, delivery, products, and support questions.",Out-of-Scope,"I can't help with that - I can only assist with JumpStart orders, returns, delivery, products, and support questions.",TN,,tool_call failed. No knowledge and escalate to human. Correct | Label rationale: Correctly and exactly matched the expected out-of-scope fallback.
