Question,Answer,Category
"What payment methods do you accept, and is there a fee for using them?","We accept Visa, Mastercard, American Express, Apple Pay, Google Pay, PayPal, JumpStart gift cards, and Klarna or Afterpay instalments on eligible orders. Card, digital wallet, and PayPal payments have no fee and are charged on order confirmation.",Payments
"How does the JumpStart gift card work, and how are gift-card refunds handled?","Gift card values range from $10 to $500, never expire, carry no fee, apply instantly, and cannot be redeemed for cash. Refunds for purchases paid with a gift card are credited back to the gift card balance instantly, since no external bank or card network processing is involved.",Payments
How do Klarna and Afterpay instalments work?,"They offer 4 interest-free instalments with no fee if paid on time, available for orders between $35 and $1000.",Payments
What happens if my payment is declined?,The order is not placed. Any authorisation hold is released by the bank within 1-5 business days.,Payments
What if the price of an item I bought drops shortly after I purchase it?,"If a price drops within 7 days of purchase, you can request the difference as store credit.",Payments
What is the WELCOME15 promo code?,"WELCOME15 gives 15% off a first order, for new accounts only, with a minimum spend of $20.",Promotions
Is there a student discount code?,"Yes, STUDENT12 gives 12% off fashion and books with a valid student ID or university email at checkout.",Promotions
What does the FLASH25 promo code do?,"FLASH25 gives 25% off selected electronics during seasonal flash sales, while stocks last, and cannot be combined with other codes.",Promotions
What is FREESHIP50?,FREESHIP50 gives free standard shipping automatically on orders over $50 - no code entry needed.,Promotions
How does the LOYALTY5 code work?,LOYALTY5 gives a $5 voucher redeemable for 100 JumpStart Rewards points.,Promotions
What is the BIRTHDAY15 promo code?,BIRTHDAY15 gives 15% off during your birthday month for JumpStart Rewards members.,Promotions
What product categories does JumpStart sell?,"JumpStart stocks six categories: Electronics (headphones, phones, TVs, laptops), Fashion (clothing, footwear), Accessories (watches, wallets, charging hubs), Home & Living (candles, plant pots, blankets), Sports (yoga mats, weights), and Books.",Products
Can I buy online and in store?,"Yes. All products can be purchased online through the website or in person at any JumpStart store. Online orders deliver nationwide or can be collected in-store via Click and Collect; in-store purchases can be taken home immediately, subject to stock.",Products
What happens if an item is out of stock?,Out-of-stock items can be tracked with a notify-me alert and are usually restocked within 2-3 weeks. Items are reserved in your cart for 15 minutes during checkout.,Products
Do you have a size guide for clothing?,"Yes. Clothing uses standard S/M/L/XL sizing with a size chart (chest, waist, length in cm) on every product page. Footwear is listed in both US and EU sizes.",Products
Where is your flagship store located?,"The flagship store is at 88 Orchard Boulevard, Downtown, open Monday to Saturday 10:00-21:00 and Sunday 11:00-19:00.",Store Info
What are the opening hours for the Westside Mall branch?,"The Westside Mall branch (Level 2, Westside Mall) is open daily 10:00 to 22:00.",Store Info
Do you have a store at the airport?,"Yes, the Airport outlet at Terminal 3, Departures is open daily 06:00 to 23:00.",Store Info
Are stores open on public holidays?,Stores operate on Sunday hours during public holidays unless announced otherwise on the website.,Store Info
What in-store services do you offer?,"Click and Collect pickup, an electronics trade-in desk, personal shopping appointments for fashion, free gift wrapping for purchases over $30, and a repairs drop-off point for warranty claims.",Store Info
"How do I contact customer support, and what should I have ready?","Live chat is available 24/7 via the AI assistant with handover to human agents during business hours (09:00-21:00 daily). Email support@jumpstart-retail.example responds within 1 business day. Phone 1-800-JUMPSTART is staffed daily 09:00-21:00. Have ready: your order number (format JS-2026-XXX), the email address on your account, and a short description of the issue.",Store Info
What is JumpStart Rewards?,"JumpStart Rewards is a free loyalty programme. Members earn 1 point per $1 spent, 100 points equal a $5 voucher, plus early access to sales and a 15% birthday discount.",Store Info
Are your stores wheelchair accessible?,"Yes, all stores are wheelchair accessible with accessible parking, and staff are trained to assist customers with additional needs.",Store Info
How does support work when I chat with JumpStart?,"Every conversation starts with the AI assistant, which can check order status, explain return, delivery, warranty, and payment policies, and search for products or stores immediately, any time of day.",Support
When does the AI hand me over to a human agent?,"The AI hands you to a human agent when you explicitly ask for one, when it isn't confident enough in an answer, when a question needs a judgement call it isn't authorised to make (like approving a refund or cancellation), or when it detects real frustration alongside a complaint.",Support
What happens during a handover to a human agent?,"You'll see a short message explaining why you're being connected to a person, then a queue indicator. A summary of what the AI already understood is handed to the staff member, so you shouldn't need to repeat your whole question.",Support
What are human agent hours?,"Live agents are available 09:00 to 21:00 daily. Outside those hours, the AI keeps helping with anything it can, and urgent handovers are queued for the next available agent.",Support
Can I give feedback after a conversation ends?,"Yes, you can rate the help you received after a conversation ends. Feedback is reviewed by the support team and used to improve both the AI assistant and staff training.",Support
What does the Processing order status mean?,"The order has been placed and payment confirmed, but hasn't yet been packed or handed to a courier. It can still be cancelled or edited for free at this stage, and typically lasts up to 24 hours on business days.",Orders
What does the Dispatched order status mean?,"The order has left the JumpStart warehouse and is with the courier network, with an active tracking number. It can no longer be cancelled at this stage, but can be returned once delivered.",Orders
What does Out for Delivery mean?,The courier is actively delivering the parcel that day. Same-day delivery orders and the final leg of standard or express orders both show this status.,Orders
What does Delivered mean for my order?,The order has been handed to the customer or left at the agreed safe location. This is the date the item's return window starts counting from.,Orders
What does Cancelled mean for an order?,"The order was cancelled before dispatch, either by the customer during Processing or by JumpStart (for example if an item became unavailable). Refunds for cancelled orders are issued immediately.",Orders
What does Return In Transit mean?,A return has been approved and the item is on its way back to the JumpStart warehouse. Refunds are processed within 5-7 business days of the item arriving and passing inspection.,Orders
What if my order seems stuck in the same status for days?,"If an order appears stuck in one status for more than 3 business days without a tracking update, customer support can investigate and arrange a replacement or refund for confirmed lost parcels.",Orders
Can I transfer my warranty if I sell the product?,No. Warranties are valid for the original purchaser only and are not transferable.,Warranty
What specs are shown on product pages for laptops and headphones?,"Laptops list processor, RAM, storage, and screen size up front for easy comparison. Headphones and audio gear list driver size, battery life, and noise cancellation type.",Products
How do I update the email or phone number on my account?,Go to Account Settings and edit your email or phone number directly. A verification link or code is sent to confirm the change before it takes effect.,Account
Can I delete my JumpStart account?,"Yes, account deletion can be requested from Account Settings or via customer support. It permanently removes your saved details and order history after a 30-day grace period.",Account
"Do displayed prices include tax, and what currency are they shown in?","Yes, all prices already include applicable sales tax, so the price at checkout matches the product page. Prices are shown and charged in USD, regardless of your delivery location within the country.",Payments
Can I split a payment across two different payment methods?,"Yes, a JumpStart gift card can be combined with one other payment method (card, PayPal, or digital wallet) to cover the remaining balance at checkout.",Payments
Do you price match with other retailers?,"No, JumpStart does not price match competitor listings, though the post-purchase price-drop credit applies if JumpStart's own price drops within 7 days.",Payments
Is there a delivery cutoff before public holidays?,Orders must be placed by 14:00 the business day before a public holiday to be processed before the closure; later orders are processed on the next business day.,Delivery
Can I return an item without the original receipt?,"A digital order confirmation, the email on your account, or a card statement showing the purchase can be used in place of a paper receipt for both online and in-store returns.",Returns
